pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line.started,line_2.started,line_3.started,line_4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,119.67737539997324,120.63184350007214,120.63184350007214,120.63184350007214,120.63184350007214,120.6798042000737,121.62971789995208,121.62971789995208,x,1,0.43529989989474416,455576,001,2022-10-12_19h30.28.624,sequential leraning task,2022.2.4,60.025126527606204,
150,v,0,1,1,1,,,,,122.09872490004636,123.08156060008332,123.08156060008332,123.08156060008332,123.08156060008332,123.09638449992053,124.09395450004376,124.09395450004376,v,1,0.31883239978924394,455576,001,2022-10-12_19h30.28.624,sequential leraning task,2022.2.4,60.025126527606204,
50,c,0,2,2,2,,,,,124.44401360000484,125.44384950003587,125.44384950003587,125.44384950003587,125.44384950003587,125.44384950003587,126.44380420004018,126.44380420004018,c,1,0.4917246997356415,455576,001,2022-10-12_19h30.28.624,sequential leraning task,2022.2.4,60.025126527606204,
-150,z,0,3,3,3,,,,,126.96080980007537,127.96051739994437,127.96051739994437,127.96051739994437,127.96051739994437,127.96051739994437,128.96075160009786,128.96075160009786,z,1,0.3046764999162406,455576,001,2022-10-12_19h30.28.624,sequential leraning task,2022.2.4,60.025126527606204,
-50,x,1,0,4,0,,,,,129.29387750010937,130.2939259998966,130.2939259998966,130.2939259998966,130.2939259998966,130.2939259998966,131.29394189990126,131.29394189990126,x,1,0.40035869972780347,455576,001,2022-10-12_19h30.28.624,sequential leraning task,2022.2.4,60.025126527606204,
150,v,1,1,5,1,,,,,131.71054299990647,132.71076070005074,132.71076070005074,132.71076070005074,132.71076070005074,132.71076070005074,133.71060029999353,133.71060029999353,v,1,0.3634927000384778,455576,001,2022-10-12_19h30.28.624,sequential leraning task,2022.2.4,60.025126527606204,
50,c,1,2,6,2,,,,,134.09410450002179,135.0938748999033,135.0938748999033,135.0938748999033,135.0938748999033,135.0938748999033,136.09402199997567,136.09402199997567,c,1,0.374545999802649,455576,001,2022-10-12_19h30.28.624,sequential leraning task,2022.2.4,60.025126527606204,
-150,z,1,3,7,3,,,,,136.49384739995003,137.49412170005962,137.49412170005962,137.49412170005962,137.49412170005962,137.49412170005962,138.4938797999639,138.4938797999639,z,1,0.3505575000308454,455576,001,2022-10-12_19h30.28.624,sequential leraning task,2022.2.4,60.025126527606204,
-50,x,2,0,8,0,,,,,138.86069780006073,139.8605583999306,139.8605583999306,139.8605583999306,139.8605583999306,139.8605583999306,140.86062330007553,140.86062330007553,z,0,0.3467647999059409,455576,001,2022-10-12_19h30.28.624,sequential leraning task,2022.2.4,60.025126527606204,
150,v,2,1,9,1,,,,,141.22735349996947,142.22719700005837,142.22719700005837,142.22719700005837,142.22719700005837,142.22719700005837,143.22735309996642,143.22735309996642,v,1,0.38956139981746674,455576,001,2022-10-12_19h30.28.624,sequential leraning task,2022.2.4,60.025126527606204,
50,c,2,2,10,2,,,,,143.64399369992316,144.64392019994557,144.64392019994557,144.64392019994557,144.64392019994557,144.64392019994557,145.64409699989483,145.64409699989483,c,1,0.33766509988345206,455576,001,2022-10-12_19h30.28.624,sequential leraning task,2022.2.4,60.025126527606204,
